GEO_ID,NAME,S2503_C01_014E
48339,"Montgomery County, Texas",9116
48341,"Moore County, Texas",457
48343,"Morris County, Texas",785
48345,"Motley County, Texas",24
48347,"Nacogdoches County, Texas",2897
48349,"Navarro County, Texas",1331
48351,"Newton County, Texas",919
48353,"Nolan County, Texas",823
48355,"Nueces County, Texas",7770
48357,"Ochiltree County, Texas",237
48359,"Oldham County, Texas",72
48361,"Orange County, Texas",3634
48363,"Palo Pinto County, Texas",1021
48365,"Panola County, Texas",1006
48367,"Parker County, Texas",2785
48369,"Parmer County, Texas",376
48371,"Pecos County, Texas",554
48373,"Polk County, Texas",2212
48375,"Potter County, Texas",3633
48377,"Presidio County, Texas",494
48379,"Rains County, Texas",286
48381,"Randall County, Texas",2015
48383,"Reagan County, Texas",174
48385,"Real County, Texas",129
48387,"Red River County, Texas",710
48389,"Reeves County, Texas",590
48391,"Refugio County, Texas",396
48393,"Roberts County, Texas",33
48395,"Robertson County, Texas",891
48397,"Rockwall County, Texas",733
48399,"Runnels County, Texas",460
48401,"Rusk County, Texas",2183
48403,"Sabine County, Texas",961
48405,"San Augustine County, Texas",865
48407,"San Jacinto County, Texas",1110
48409,"San Patricio County, Texas",2225
48411,"San Saba County, Texas",245
48413,"Schleicher County, Texas",160
48415,"Scurry County, Texas",847
48417,"Shackelford County, Texas",120
48419,"Shelby County, Texas",1770
48421,"Sherman County, Texas",45
48423,"Smith County, Texas",5054
48425,"Somervell County, Texas",170
48427,"Starr County, Texas",4818
48429,"Stephens County, Texas",293
48431,"Sterling County, Texas",62
48433,"Stonewall County, Texas",49
48435,"Sutton County, Texas",114
48437,"Swisher County, Texas",377
48439,"Tarrant County, Texas",16618
48441,"Taylor County, Texas",2737
48443,"Terrell County, Texas",52
48445,"Terry County, Texas",653
48447,"Throckmorton County, Texas",120
48449,"Titus County, Texas",1123
48451,"Tom Green County, Texas",3744
48453,"Travis County, Texas",9197
48455,"Trinity County, Texas",874
48457,"Tyler County, Texas",947
48459,"Upshur County, Texas",1537
48461,"Upton County, Texas",279
48463,"Uvalde County, Texas",1308
48465,"Val Verde County, Texas",2332
48467,"Van Zandt County, Texas",1831
48469,"Victoria County, Texas",2810
48471,"Walker County, Texas",1638
48473,"Waller County, Texas",831
48475,"Ward County, Texas",576
48477,"Washington County, Texas",683
48479,"Webb County, Texas",5139
48481,"Wharton County, Texas",1700
48483,"Wheeler County, Texas",270
48485,"Wichita County, Texas",3317
48487,"Wilbarger County, Texas",452
48489,"Willacy County, Texas",1122
48491,"Williamson County, Texas",2518
48493,"Wilson County, Texas",1067
48495,"Winkler County, Texas",458
48497,"Wise County, Texas",1305
48499,"Wood County, Texas",1854
48501,"Yoakum County, Texas",295
48503,"Young County, Texas",774
48505,"Zapata County, Texas",974
48507,"Zavala County, Texas",634
